%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1518220999980952584,0,42.4442520142,-76.4832763672,19.0,9.0,9.0,64.0,6.0,173.729995728,1.35813331604,159.0,16.0,416.0
1518220999996260271,0,42.4442481995,-76.4832763672,19.0,9.0,9.0,0.0,6.0,174.550003052,1.42501115799,159.0,16.0,736.0
1518221000016489565,0,42.4442481995,-76.4832763672,19.0,9.0,9.0,0.0,6.0,174.550003052,1.42501115799,159.0,16.0,736.0
1518221000029585745,0,42.4442481995,-76.4832763672,19.0,9.0,9.0,16.0,6.0,174.550003052,1.42501115799,159.0,16.0,736.0
1518221000046754158,0,42.4442481995,-76.4832763672,19.0,9.0,9.0,34.0,6.0,174.550003052,1.42501115799,159.0,18.0,824.0
1518221000064507414,0,42.4442481995,-76.4832763672,19.0,9.0,9.0,50.0,6.0,174.550003052,1.42501115799,159.0,16.0,456.0
1518221000079465570,0,42.4442481995,-76.4832763672,19.0,9.0,9.0,66.0,6.0,174.550003052,1.42501115799,159.0,16.0,408.0
1518221000095189558,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,0.0,6.0,175.160003662,1.47645556927,159.0,16.0,736.0
1518221000113856876,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,0.0,6.0,175.160003662,1.47645556927,159.0,16.0,736.0
1518221000129495968,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,16.0,6.0,175.160003662,1.47645556927,159.0,16.0,736.0
1518221000144612510,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,32.0,6.0,175.160003662,1.47645556927,159.0,16.0,736.0
1518221000161781340,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,48.0,6.0,175.160003662,1.47645556927,159.0,16.0,552.0
1518221000177943348,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,64.0,6.0,175.160003662,1.47645556927,159.0,16.0,88.0
1518221000195635615,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,0.0,6.0,176.380004883,1.51246666908,159.0,16.0,744.0
1518221000206469974,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,0.0,6.0,176.380004883,1.51246666908,159.0,16.0,736.0
1518221000224937657,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,16.0,6.0,176.380004883,1.51246666908,159.0,16.0,728.0
1518221000239273470,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,32.0,6.0,176.380004883,1.51246666908,159.0,16.0,736.0
1518221000255661363,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,48.0,6.0,176.380004883,1.51246666908,159.0,16.0,736.0
1518221000272647485,0,42.4442443848,-76.4832763672,19.0,9.0,9.0,64.0,6.0,176.380004883,1.51246666908,159.0,16.0,136.0
1518221000288686838,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,0.0,6.0,177.919998169,1.53304445744,159.0,16.0,648.0
1518221000305353220,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,16.0,6.0,177.919998169,1.53304445744,159.0,16.0,736.0
1518221000320984448,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,0.0,6.0,177.919998169,1.53304445744,159.0,16.0,736.0
1518221000338972131,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,16.0,6.0,177.919998169,1.53304445744,159.0,16.0,736.0
1518221000353728621,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,32.0,6.0,177.919998169,1.53304445744,159.0,16.0,736.0
1518221000366045479,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,48.0,6.0,177.919998169,1.53304445744,159.0,16.0,312.0
1518221000384571911,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,64.0,6.0,177.919998169,1.53304445744,159.0,16.0,392.0
1518221000399839754,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,0.0,6.0,179.699996948,1.55362224579,159.0,16.0,736.0
1518221000414866972,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,0.0,6.0,179.699996948,1.55362224579,159.0,16.0,736.0
1518221000431874448,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,16.0,6.0,179.699996948,1.55362224579,159.0,16.0,736.0
1518221000448703070,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,32.0,6.0,179.699996948,1.55362224579,159.0,16.0,736.0
1518221000464737423,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,48.0,6.0,179.699996948,1.55362224579,159.0,16.0,568.0
1518221000481475889,0,42.4442405701,-76.4832763672,19.0,9.0,9.0,64.0,6.0,179.699996948,1.55362224579,159.0,16.0,280.0
1518221000497773678,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,0.0,6.0,180.880004883,1.55876660347,159.0,16.0,744.0
1518221000513085948,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,0.0,6.0,180.880004883,1.55876660347,159.0,16.0,736.0
1518221000530415976,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,16.0,6.0,180.880004883,1.55876660347,159.0,16.0,728.0
1518221000542454501,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,32.0,6.0,180.880004883,1.55876660347,159.0,16.0,736.0
1518221000560173330,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,48.0,6.0,180.880004883,1.55876660347,159.0,16.0,680.0
1518221000575407839,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,64.0,6.0,180.880004883,1.55876660347,159.0,16.0,80.0
1518221000595408228,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,0.0,6.0,182.339996338,1.55876660347,159.0,16.0,744.0
1518221000607286492,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,0.0,6.0,182.339996338,1.55876660347,159.0,16.0,736.0
1518221000623734803,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,16.0,6.0,182.339996338,1.55876660347,159.0,16.0,736.0
1518221000639799884,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,32.0,6.0,182.339996338,1.55876660347,159.0,16.0,736.0
1518221000656906370,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,48.0,6.0,182.339996338,1.55876660347,159.0,16.0,736.0
1518221000672864890,0,42.4442367554,-76.4832763672,19.0,9.0,9.0,64.0,6.0,182.339996338,1.55876660347,159.0,16.0,208.0
1518221000688969398,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,0.0,6.0,184.029998779,1.56391108036,159.0,16.0,744.0
1518221000706836144,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,0.0,6.0,184.029998779,1.56391108036,159.0,16.0,736.0
1518221000719483574,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,16.0,6.0,184.029998779,1.56391108036,159.0,16.0,728.0
1518221000734892771,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,32.0,6.0,184.029998779,1.56391108036,159.0,16.0,736.0
1518221000751842486,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,48.0,6.0,184.029998779,1.56391108036,159.0,16.0,736.0
1518221000768067620,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,64.0,6.0,184.029998779,1.56391108036,159.0,16.0,152.0
1518221000784536711,0,42.4442329407,-76.4832763672,19.0,9.0,9.0,80.0,6.0,184.029998779,1.56391108036,159.0,16.0,392.0
1518221000800000387,0,42.4442329407,-76.4832839966,19.0,9.0,9.0,0.0,6.0,186.020004272,1.56391108036,159.0,16.0,744.0
1518221000817118124,0,42.4442329407,-76.4832839966,19.0,9.0,9.0,0.0,6.0,186.020004272,1.56391108036,159.0,16.0,736.0
1518221000832584091,0,42.4442329407,-76.4832839966,19.0,9.0,9.0,16.0,6.0,186.020004272,1.56391108036,159.0,16.0,736.0
1518221000848893131,0,42.4442329407,-76.4832839966,19.0,9.0,9.0,32.0,6.0,186.020004272,1.56391108036,159.0,16.0,728.0
